Title,Author(s),Year,Source,Status,Exclusion Criteria,Inclusion Criteria,Quality Grade,Goal
Ontology-based feature modeling: An empirical study in changing scenarios,"Dermeval, D. and Tenório, T. and Bittencourt, I.I. and Silva, A. and Isotani, S. and Ribeiro, M.",2015,Scopus,Duplicated,,,1.0,Explore relationships
Optimize defect detection techiniques through empirical software engineering method,"Sun, H.T.",2005,Scopus,Duplicated,,,N/A,N/A
On the Understandability of Language Constructs to Structure the State and Behavior in Abstract State Machine Specifications: A Controlled Experiment,"Paulweber, P. and Simhandl, G. and Zdun, U.",2021,Scopus,Duplicated,,,1.0,Confirm theories
Influence on the use of an IDE tool support in the pair programming: A controlled experiment,"Gomez, O.S. and Aguileta, A.A.",2018,Scopus,Duplicated,,,1.0,Explore relationships
Incorrect results in software engineering experiments: How to improve research practices,"Jørgensen, M. and Dybå, T. and Liestøl, K. and Sjøberg, D.I.K.",2016,Scopus,Duplicated,,,N/A,N/A
Human-Oriented Software Engineering Experiments: The Large Gap in Experiment Reports,"Falcão, L. and Soares, S.",2021,Scopus,Duplicated,,,N/A,N/A
Formalisms in software engineering: Myths versus empirical facts,"Rombach, D. and Seelisch, F.",2008,Scopus,Duplicated,,,N/A,N/A
Experimentation in the industry for automation of unit testing in a business intelligence environment,"Santos, I.P.O. and Nascimento, A.V.R.P. and Costa, J.K.G. and Júnior, M.C. and Pereira, W.C.",2016,Scopus,Duplicated,,,1.0,Evaluate the accuracy of models
Extracting information from experimental software engineering papers,"Cruzes, D. and Mendonça, M. and Basili, V. and Shull, F. and Jino, M.",2007,Scopus,Duplicated,,,1.0,Evaluate the accuracy of models
Evaluating guidelines for reporting empirical software engineering studies,"Kitchenham, B. and Al-Khilidar, H. and Babar, M.A. and Berry, M. and Cox, K. and Keung, J. and Kurniawati, F. and Staples, M. and Zhang, H. and Zhu, L.",2008,Scopus,Duplicated,,,1.0,Explore relationships
Evaluating pair programming with respect to system complexity and programmer expertise,"Arisholm, E. and Gallis, H. and Dybå, T. and Sjøberg, D.I.K.",2007,Scopus,Duplicated,,,1.0,Evaluate the accuracy of models
Evaluating advantages of test driven development: A controlled experiment with professionals,"Canfora, G. and Cimitile, A. and Garcia, F. and Piattini, M. and Visaggio, C.A.",2006,Scopus,Duplicated,,,N/A,N/A
Evaluating guidelines for empirical software engineering studies,"Kitchenham, B. and Al-Khilidar, H. and Babar, M.A. and Berry, M. and Cox, K. and Keung, J. and Kurniawati, F. and Staples, M. and He, Z. and Liming, Z.",2006,Scopus,Duplicated,,,N/A,N/A
Empirical-WebGen; a web-based environment for the automatic generation of surveys and experiments,"Novillo, F. and Garcia, F. and Rolón, E. and Ruiz, F. and Piattini, M.",2008,Scopus,Duplicated,,,1.0,Evaluate the accuracy of models
Empirical software engineering experts on the use of students and professionals in experiments,"Falessi, D. and Juristo, N. and Wohlin, C. and Turhan, B. and Münch, J. and Jedlitschka, A. and Oivo, M.",2018,Scopus,Duplicated,,,1.0,Explore relationships
Empirical research on concurrent software testing: A systematic mapping study,"Melo, S.M. and Carver, J.C. and Souza, P.S.L. and Souza, S.R.S.",2019,Scopus,Duplicated,,,N/A,N/A
Empirical evaluation of uml modeling tools–a controlled experiment,"Safdar, S.A. and Iqbal, M.Z. and Khan, M.U.",2015,Scopus,Duplicated,,,N/A,N/A
Eliciting better quality architecture evaluation scenarios: A controlled experiment on top-down vs. bottom-up,"Babar, M.A. and Biffl, S.",2006,Scopus,Duplicated,,,1.0,Confirm theories
ESEML - Empirical software engineering modeling language,"Cartaxo, B. and Costa, I. and Abrantes, D. and Santos, A. and Soares, S. and Garcia, V.",2012,Scopus,Duplicated,,,N/A,N/A
Do developers benefit from requirements traceability when evolving and maintaining a software system?,"Mäder, P. and Egyed, A.",2015,Scopus,Duplicated,,,1.0,Confirm theories
Do search-based approaches improve the design of self-adaptive systems? a controlled experiment,"Andrade, S.S. and MacÊdo, R.J.D.A.",2014,Scopus,Duplicated,,,1.0,Confirm theories
Developing search strategies for detecting relevant experiments,"Dieste, O. and Grimán, A. and Juristo, N.",2009,Scopus,Duplicated,,,N/A,N/A
Does automated unit test generation really help software testers? A controlled empirical study,"Fraser, G. and Staats, M. and McMinn, P. and Arcuri, A. and Padberg, F.",2015,Scopus,Duplicated,,,1.0,Evaluate the accuracy of models
Cost-effective traceability links for architecture-level software understanding: A controlled experiment,"Javed, M.A. and Stevanetic, S. and Zdun, U.",2015,Scopus,Duplicated,,,1.0,Confirm theories
Surveys in Software Engineering: Identifying Representative Samples,"de Mello, Rafael Maiani and Travassos, Guilherme Horta",2016,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Does the Use of Stereotypes Improve the Comprehension of UML Sequence Diagrams?,"Genero, Marcela and Cruz-Lemus, Jos\'{e} A. and Caivano, Danilo and Abrah\~{a}o, Silvia and Insfran, Emilio and Cars\'{\i}, Jos\'{e} Angel",2008,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Comparing Two Communication Media in Use Case Modeling: Results from a Controlled Experiment,"Erra, Ugo and Portnova, Ana and Scanniello, Giuseppe",2010,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
The Impact of Time Controlled Reading on Software Inspection Effectiveness and Efficiency: A Controlled Experiment,"Petersen, Kai and R\""{o}nkk\""{o}, Kari and Wohlin, Claes",2008,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Model-Integrated Queries for the Analysis of Runtime Events: A Controlled Experiment,"Szvetits, Michael and Zdun, Uwe",2019,ACM Digital Library,Accepted,,Experiment,1.0,Explore relationships
Work Experience versus Refactoring to Design Patterns: A Controlled Experiment,"Ng, T. H. and Cheung, S. C. and Chan, W. K. and Yu, Y. T.",2006,ACM Digital Library,Accepted,,Experiment,1.0,Explore relationships
Does the Combined Use of Class and Sequence Diagrams Improve the Source Code Comprehension? Results from a Controlled Experiment,"Scanniello, Giuseppe and Gravino, Carmine and Tortora, Genoveffa",2012,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Applying Coupling and Cohesion Concepts in Object-Oriented Software: A Controlled Experiment,"Moreira, Gabriel Yago de Oliveira and Santos, Jos\'{e} Amancio Macedo",2020,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Evaluating Advantages of Test Driven Development: A Controlled Experiment with Professionals,"Canfora, Gerardo and Cimitile, Aniello and Garcia, Felix and Piattini, Mario and Visaggio, Corrado Aaron",2006,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
ESEML: Empirical Software Engineering Modeling Language,"Cartaxo, Bruno and Costa, Italo and Abrantes, Dhiego and Santos, Andre and Soares, Sergio and Garcia, Vinicius",2012,ACM Digital Library,Duplicated,,,N/A,N/A
Views on Internal and External Validity in Empirical Software Engineering,"Siegmund, Janet and Siegmund, Norbert and Apel, Sven",2015,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Report from the 2nd International Workshop on Replication in Empirical Software Engineering Research (RESER 2011),"Krein, Jonathan L. and Knutson, Charles D. and Prechelt, Lutz and Juristo, Natalia",2012,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
A Controlled Experiment for Assessing the Contribution of Design Pattern Documentation on Software Maintenance,"Scanniello, Giuseppe and Gravino, Carmine and Risi, Michele and Tortora, Genoveffa",2010,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Using Templates to Elicit Implied Security Requirements from Functional Requirements - a Controlled Experiment,"Riaz, Maria and Slankas, John and King, Jason and Williams, Laurie",2014,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Five Days of Empirical Software Engineering: The PASED Experience,"Di Penta, Massimiliano and Antoniol, Giuliano and Germ\'{a}n, Daniel M. and Gu\'{e}h\'{e}neuc, Yann-Ga\""{e}l and Adams, Bram",2012,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Report of the 4th International Symposium on Empirical Software Engineering and Measurement ESEM 2010,"Lutteri, Emiliano and Russo, Barbara and Succi, Giancarlo",2011,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Understanding the behaviour of hackers while performing attack tasks in a professional setting and in a public challenge,"Ceccato, Mariano and Tonella, Paolo and Basile, Cataldo and Falcarin, Paolo and Torchiano, Marco and Coppens, Bart and De Sutter, Bjorn",2019,Springer Link,Rejected,Out of Scope,,N/A,N/A
Understanding {Ajax} applications by connecting client and server-side execution traces,"Zaidman, Andy and Matthijssen, Nick and Storey, Margaret-Anne and van Deursen, Arie",2013,Springer Link,Rejected,Out of Scope,,N/A,N/A
Guest editors’ introduction: special issue from the 13th working conference on reverse engineering ({WCRE} 2006),"Sim, Susan Elliott and Di Penta, Massimiliano",2008,Springer Link,Rejected,Out of Scope,,N/A,N/A
A Value-Based Approach for Documenting Design Decisions Rationale: A Replicated Experiment,"Falessi, Davide and Capilla, Rafael and Cantone, Giovanni",2008,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
A Pilot Study: Design Patterns in Parallel Program Development,"Nanthaamornphong, Aziz",2013,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A Metrics-Based Model for Programming Skill,"Adelakun, Oluwatoyin",2020,ACM Digital Library,Accepted,,Experiment,1.0,Validate measures
Replications Types in Experimental Disciplines,"G\'{o}mez, Omar S. and Juristo, Natalia and Vegas, Sira",2010,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Quantitative Software Security Measurement in an Engineering Service Bus Platform,"Fruehwirth, Christian and Biffl, Stefan and Schatten, Alexander and Winkler, Dietmar and Sunindyo, Wikan D.",2010,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
An Empirical Study of WIP in Kanban Teams,"Sj\o{}berg, Dag I. K.",2018,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Empirical evaluation in Computer Science research published by ACM,Jacques Wainer and Claudia G. {Novoa Barsottini} and Danilo Lacerda and Leandro Rodrigues {Magalhães de Marco},2009,Science@Direct,Rejected,Not a primary study,,N/A,N/A
The Value of Design Rationale Information,"Falessi, Davide and Briand, Lionel C. and Cantone, Giovanni and Capilla, Rafael and Kruchten, Philippe",2013,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Toward a Software Testing and Reliability Early Warning Metric Suite,"Nagappan, Nachiappan",2004,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
A Conceptual Model to Address Threats to Validity in Controlled Experiments,"Neto, Amadeu Anderlin and Conte, Tayana",2013,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
Together We Are Stronger: Facilitating the Conduction of Distributed Human-Oriented Experiments,"Ferreira, Waldemar",2014,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
A Holistic Overview of Software Engineering Research Strategies,"Stol, Klaas-Jan and Fitzgerald, Brian",2015,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Gathering Refactoring Data: A Comparison of Four Methods,"Murphy-Hill, Emerson and Black, Andrew P. and Dig, Danny and Parnin, Chris",2008,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Lab-Based Action Design Research,"Ralph, Paul",2014,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
On the Influence of Human Factors for Identifying Code Smells: A Multi-Trial Empirical Study,"de Mello, Rafael Maiani and Oliveira, Roberto and Garcia, Alessandro",2017,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Using Observational Pilot Studies to Test and Improve Lab Packages,"Mendon\c{c}a, Manoel and Cruzes, Daniela and Dias, Josemeire and de Oliveira, Maria Cristina Ferreira",2006,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Towards a Semantic Knowledge Base on Threats to Validity and Control Actions in Controlled Experiments,"Biffl, Stefan and Kalinowski, Marcos and Ekaputra, Fajar and Neto, Amadeu Anderlin and Conte, Tayana and Winkler, Dietmar",2014,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Generation of Task-Specific Architecture Documentation for Developers,"Rost, Dominik",2012,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Why Research on Test-Driven Development is Inconclusive?,"Ghafari, Mohammad and Gross, Timm and Fucci, Davide and Felderer, Michael",2020,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Lessons Learned from 25 Years of Process Improvement: The Rise and Fall of the NASA Software Engineering Laboratory,"Basili, Victor R. and McGarry, Frank E. and Pajerski, Rose and Zelkowitz, Marvin V.",2002,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Support Mechanisms to Conduct Empirical Studies in Software Engineering: A Systematic Mapping Study,"Borges, Alex and Ferreira, Waldemar and Barreiros, Emanoel and Almeida, Adauto and Fonseca, Liliane and Teixeira, Eudis and Silva, Diogo and Alencar, Aline and Soares, Sergio",2015,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
Variant Analysis: Set-Based Similarity Visualization for Cloned Software Systems,"Tenev, Vasil and Duszynski, Slawomir and Becker, Martin",2017,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Improving Application and Understanding of Experience Packages through Learning Spaces,"Ras, Eric",2008,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Systematic Studies in Software Product Lines: A Tertiary Study,"Marimuthu, C. and Chandrasekaran, K.",2017,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
Measuring Productivity in Agile Software Development Process: A Scoping Study,"Shah, Syed Muhammad Ali and Papatheocharous, Efi and Nyfjord, Jaana",2015,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
"Software Inspections, Reviews &amp; Walkthroughs","Ciolkowski, Marcus and Laitenberger, Oliver and Rombach, Dieter and Shull, Forrest and Perry, Dewayne",2002,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Towards a More Structured Peer Review Process with Empirical Standards,"Arshad, Arham and Ghaleb, Taher and Ralph, Paul",2021,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
"Frontmatter (TOC, Miscellaneous Material)",ACM SIGSOFT Software Engineering Notes staff,2006,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Experiences in Using Practitioner's Checklists to Evaluate the Industrial Relevance of Requirements Engineering Experiments,"Daneva, Maya and Sikkel, Klaas and Condori-Fernandez, Nelly and Herrmann, Andrea",2018,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Two Decades of Empirical Research on Developers' Information Needs: A Preliminary Analysis,"Bouraffa, Abir and Maalej, Walid",2020,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
An Evaluation of a Model-Based Testing Method for Information Systems,"Santos-Neto, Pedro and Resende, Rodolfo F. and P\'{a}dua, Clarindo",2008,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Software Engineering Research at the International Conference on Software Engineering in 2016,"Theisen, Christopher and Dunaiski, Marcel and Williams, Laurie and Visser, Willem",2018,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
"Frontmatter (TOC, Letters, Open Source Software (OSS) Patent Search Engine, Calendar of Events, Workshop and Conference Information)",ACM SIGSOFT Software Engineering Notes staff,2005,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Fixing Faults in C and Java Source Code: Abbreviated vs. Full-Word Identifier Names,"Scanniello, Giuseppe and Risi, Michele and Tramontana, Porfirio and Romano, Simone",2017,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
An Empirical Evaluation of Two User Interfaces of an Interactive Program Verifier,"Hentschel, Martin and H\""{a}hnle, Reiner and Bubel, Richard",2016,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Experimental Evaluation of the SMartyCheck Techinique for Inspecting Defects in UML Component Diagrams,"Bettin, Giovanna C. S. and Geraldi, Ricardo Theis and OliveiraJr, Edson",2018,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A Model to Analyze and Design Educational Games with Pedagogical Foundations,"Lepe-Salazar, Francisco",2015,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
A Comparative Study of Model-Driven Approaches For Scoping and Planning Experiments,"Ferreira, Waldemar and Baldassarre, Maria Teresa and Soares, Sergio and Cartaxo, Bruno and Visaggio, Giuseppe",2017,ACM Digital Library,Accepted,,Experiment,1.0,Validate measures
Analyzing Goal Variability in Cyber-Physical System Networks,"Brings, Jennifer and Daun, Marian and Weyer, Thorsten and Pohl, Klaus",2020,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Security Triage: An Industrial Case Study on the Effectiveness of a Lean Methodology to Identify Security Requirements,"Giacalone, Matteo and Paci, Federica and Mammoliti, Rocco and Perugino, Rodolfo and Massacci, Fabio and Selli, Claudio",2014,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Software Metrics Artifacts Making Web Quality Measurable: AST 2019 Invited Paper,"Martinez-Ortiz, Andres-Leonardo and Lizcano, David and Ortega, Miguel",2019,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Categorization of Real-Time Software Components for Code Size Estimation,"Lind, Kenneth and Heldal, Rogardt",2010,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
PBR vs. Checklist: A Replication in the n-Fold Inspection Context,"He, Lulu and Carver, Jeffrey",2006,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Value-Based Design Decision Rationale Documentation: Principles and Empirical Feasibility Study,"Falessi, Davide and Cantone, Giovanni and Kruchten, Philippe",2008,IEEE Xplore,Accepted,,Experiment,1.0,Evaluate the accuracy of models
An Experimental Comparison of Two Risk-Based Security Methods,"Labunets, Katsiaryna and Massacci, Fabio and Paci, Federica and Tran, Le Minh Sang",2013,IEEE Xplore,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A Systematic Mapping Study on Software Engineering Testbeds,"Barreiros, Emanoel and Almeida, Adauto and Saraiva, Juliana and Soares, Sergio",2011,IEEE Xplore,Rejected,Not a primary study,,N/A,N/A
Do Search-Based Approaches Improve the Design of Self-Adaptive Systems? A Controlled Experiment,"Andrade, Sandro Santos and Macêdo, Raimundo José de Araújo",2014,IEEE Xplore,Accepted,,Experiment,1.0,Confirm theories
A Controlled Experiment with Novice Developers on the Impact of Task Description Granularity on Software Quality in Test-Driven Development,"Karac, Itir and Turhan, Burak and Juristo, Natalia",2021,IEEE Xplore,Accepted,,Experiment,1.0,Confirm theories
A Controlled Experiment for Selecting Transformations based on Quality Attributes in the context of MDA,"Genero, Marcela and Piattini, Mario and Abrahao, Silvia and Insfran, Emilio and Carsi, Jose Angel and Ramos, Isidro",2007,IEEE Xplore,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Extracting Information from Experimental Software Engineering Papers,"Cruzes, Daniela and Mendonca, Manoel and Basili, Victor and Shull, Forrest and Jino, Mario",2007,IEEE Xplore,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Experimental Analysis of Textual and Graphical Representations for Software Architecture Design,"Heijstek, Werner and Kühne, Thomas and Chaudron, Michel R.V.",2011,IEEE Xplore,Accepted,,Experiment,1.0,Explore relationships
FSE 2016: Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,,2016,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Using Formal Specifications to Support Testing,"Hierons, Robert M. and Bogdanov, Kirill and Bowen, Jonathan P. and Cleaveland, Rance and Derrick, John and Dick, Jeremy and Gheorghe, Marian and Harman, Mark and Kapoor, Kalpesh and Krause, Paul and L\""{u}ttgen, Gerald and Simons, Anthony J. H. and Vilkomir, Sergiy and Woodward, Martin R. and Zedan, Hussein",2009,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
ASE 2016: Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering,,2016,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Session Details: Special Track - Experience Reports in Industry and Case Studies,"Cappelli, Claudia and Ferreira, Arnaldo Alves",2015,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Strategies for Use Case Modeling: A Systematic Literature Review,"Bispo, Cristiana and Fernandes, Sergio and Magalh\~{a}es, Ana Patr\'{\i}cia",2019,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
The Contribution of Non-Technical Stakeholders on the Specification of UX Requirements: An Experimental Study Using the Proto-Persona Technique,"Pinheiro, Eduardo Gouveia and Lopes, Larissa Albano and Conte, Tayana Uch\^{o}a and Zaina, Luciana Aparecida Martinez",2018,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
A Large-Scale Study of Programming Languages and Code Quality in GitHub,"Ray, Baishakhi and Posnett, Daryl and Devanbu, Premkumar and Filkov, Vladimir",2017,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Boa: A Language and Infrastructure for Analyzing Ultra-Large-Scale Software Repositories,"Dyer, Robert and Nguyen, Hoan Anh and Rajan, Hridesh and Nguyen, Tien N.",2013,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Evidence-Based Practice in Human-Computer Interaction and Evidence Maps,"John, Bonnie E.",2005,ACM Digital Library,Duplicated,,,N/A,N/A
A Survey on the Usage of Eye-Tracking in Computer Programming,"Obaidellah, Unaizah and Al Haek, Mohammed and Cheng, Peter C.-H.",2018,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
Overlap between Automated Unit and Acceptance Testing – a Systematic Literature Review,"van Heugten Breurkes, Jack and Gilson, Fabian and Galster, Matthias",2022,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
Writing Good Software Engineering Research Papers: Minitutorial,"Shaw, Mary",2003,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Studying Programming in the Neuroage: Just a Crazy Idea?,"Siegmund, Janet and Peitek, Norman and Brechmann, Andr\'{e} and Parnin, Chris and Apel, Sven",2020,ACM Digital Library,Accepted,,Experiment,0.0,
Understanding Usability Evaluation Setup for VR Products in Industry: A Review Study,"Karre, Sai Anirudh and Mathur, Neeraj and Reddy, Y. Raghu",2020,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
Are unit and integration test definitions still valid for modern Java projects? An empirical study on open-source projects,Fabian Trautsch and Steffen Herbold and Jens Grabowski,2020,Science@Direct,Rejected,Out of Scope,,N/A,N/A
On the Representation and Aggregation of Evidence in Software Engineering: A Theory and Belief-based Perspective,Paulo Sérgio {Medeiros dos Santos} and Guilherme Horta Travassos,2013,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Evaluation studies of software testing research in Brazil and in the world: A survey of two premier software engineering conferences,Otávio Augusto Lazzarini Lemos and Fabiano Cutigi Ferrari and Marcelo Medeiros Eler and José Carlos Maldonado and Paulo Cesar Masiero,2013,Science@Direct,Rejected,Out of Scope,,N/A,N/A
An empirical comparison of the dynamic modeling in OML and UML,Mari Carmen Otero and José Javier Dolado,2005,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
The two paradigms of software development research,Paul Ralph,2018,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Evaluating performances of pair designing in industry,Gerardo Canfora and Aniello Cimitile and Felix Garcia and Mario Piattini and Corrado Aaron Visaggio,2007,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A comprehensive empirical evaluation of missing value imputation in noisy software measurement data,Jason {Van Hulse} and Taghi M. Khoshgoftaar,2008,Science@Direct,Duplicated,,,1.0,Evaluate the accuracy of models
"Recruitment, engagement and feedback in empirical software engineering studies in industrial contexts",Norsaremah Salleh and Rashina Hoda and Moon Ting Su and Tanjila Kanij and John Grundy,2018,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Empirical software engineering: From discipline to interdiscipline,Daniel {Méndez Fernández} and Jan-Hendrik Passoth,2019,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Characterizing Task-Relevant Information in Natural Language Software Artifacts,"Marques, Arthur and Bradley, Nick C. and Murphy, Gail C.",2020,IEEE Xplore,Accepted,,Experiment,1.0,Confirm theories
An extension of the behavioral theory of group performance in software development technical reviews,"Land, L.P.W. and Wong, B. and Jeffery, R.",2003,IEEE Xplore,Rejected,Out of Scope,,N/A,N/A
"Assessing, Comparing, and Combining Statechart- based testing and Structural testing: An Experiment","Mouchawrab, Samar and Briand, Lionel C. and Labiche, Yvan",2007,IEEE Xplore,Accepted,,Experiment,1.0,Explore relationships
Defect Detection Efficiency: Test Case Based vs. Exploratory Testing,"Itkonen, Juha and Mantyla, Mika V. and Lassenius, Casper",2007,IEEE Xplore,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Usability Evaluation Based on Web Design Perspectives,"Conte, Tayana and Massollar, Jobson and Mendes, Emilia and Travassos, Guilherme H.",2007,IEEE Xplore,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A Replicated Experiment on the Effectiveness of Test-First Development,"Fucci, Davide and Turhan, Burak",2013,IEEE Xplore,Accepted,,Experiment,1.0,Validate measures
Checklist-Based Inspection Technique for Feature Models Review,"de Mello, Rafael M. and Teixeira, Eldanae N. and Schots, Marcelo and Werner, Cláudia M. L. and Horta Travassos, Guilherme",2012,IEEE Xplore,Rejected,Out of Scope,,N/A,N/A
An experimental evaluation of inspection and testing for detection of design faults,"Andersson, C. and Thelin, T. and Runeson, P. and Dzamashvili, N.",2003,IEEE Xplore,Accepted,,Experiment,1.0,Explore relationships
Research synthesis in software engineering: A tertiary study,Daniela S. Cruzes and Tore Dybå,2011,Science@Direct,Rejected,Not a primary study,,N/A,N/A
A systematic review of quasi-experiments in software engineering,Vigdis By Kampenes and Tore Dybå and Jo E. Hannay and Dag I. {K. Sjøberg},2009,Science@Direct,Rejected,Not a primary study,,N/A,N/A
"Cost, benefits and quality of software development documentation: A systematic mapping",Junji Zhi and Vahid Garousi-Yusifoğlu and Bo Sun and Golara Garousi and Shawn Shahnewaz and Guenther Ruhe,2015,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Guidelines on the aesthetic quality of UML class diagrams,Holger Eichelberger and Klaus Schmid,2009,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Studying test-driven development and its retainment over a six-month time span,Maria Teresa Baldassarre and Danilo Caivano and Davide Fucci and Natalia Juristo and Simone Romano and Giuseppe Scanniello and Burak Turhan,2021,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
Patterns of developers behaviour: A 1000-hour industrial study,Saulius Astromskis and Gabriele Bavota and Andrea Janes and Barbara Russo and Massimiliano {Di Penta},2017,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow,Tingting Bi and Peng Liang and Antony Tang and Xin Xia,2021,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Three decades of software reference architectures: A systematic mapping study,Lina Garcés and Silverio Martínez-Fernández and Lucas Oliveira and Pedro Valle and Claudia Ayala and Xavier Franch and Elisa Yumi Nakagawa,2021,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Deriving architectural models from requirements specifications: A systematic mapping study,Eric Souza and Ana Moreira and Miguel Goulão,2019,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Finding security threats that matter: Two industrial case studies,Katja Tuma and Christian Sandberg and Urban Thorsson and Mathias Widman and Thomas Herpel and Riccardo Scandariato,2021,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A systematic mapping study on architectural smells detection,Haris Mumtaz and Paramvir Singh and Kelly Blincoe,2021,Science@Direct,Rejected,Not a primary study,,N/A,N/A
A family of experiments to validate measures for UML activity diagrams of ETL processes in data warehouses,Lilia Muñoz and Jose-Norberto Mazón and Juan Trujillo,2010,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A controlled experiment on inheritance depth as a cost factor for code maintenance,Lutz Prechelt and Barbara Unger and Michael Philippsen and Walter Tichy,2003,Science@Direct,Accepted,,Experiment,1.0,Validate measures
